date;Uzbekistan
22.01.2020;
23.01.2020;
24.01.2020;
25.01.2020;
26.01.2020;
27.01.2020;
28.01.2020;
29.01.2020;
30.01.2020;
31.01.2020;
01.02.2020;
02.02.2020;
03.02.2020;
04.02.2020;
05.02.2020;
06.02.2020;
07.02.2020;
08.02.2020;
09.02.2020;
10.02.2020;
11.02.2020;
12.02.2020;
13.02.2020;
14.02.2020;
15.02.2020;
16.02.2020;
17.02.2020;
18.02.2020;
19.02.2020;
20.02.2020;
21.02.2020;
22.02.2020;
23.02.2020;
24.02.2020;
25.02.2020;
26.02.2020;
27.02.2020;
28.02.2020;
29.02.2020;
01.03.2020;
02.03.2020;
03.03.2020;
04.03.2020;
05.03.2020;
06.03.2020;
07.03.2020;
08.03.2020;
09.03.2020;
10.03.2020;
11.03.2020;
12.03.2020;
13.03.2020;
14.03.2020;
15.03.2020;1
16.03.2020;5
17.03.2020;4
18.03.2020;5
19.03.2020;8
20.03.2020;10
21.03.2020;10
22.03.2020;0
23.03.2020;3
24.03.2020;4
25.03.2020;10
26.03.2020;15
27.03.2020;13
28.03.2020;16
29.03.2020;40
30.03.2020;5
31.03.2020;23
01.04.2020;9
02.04.2020;24
03.04.2020;22
04.04.2020;39
05.04.2020;76
06.04.2020;115
07.04.2020;63
08.04.2020;25
09.04.2020;37
10.04.2020;42
11.04.2020;143
12.04.2020;98
13.04.2020;133
14.04.2020;167
15.04.2020;137
16.04.2020;47
17.04.2020;56
18.04.2020;85
19.04.2020;75
20.04.2020;62
21.04.2020;51
22.04.2020;38
23.04.2020;42
24.04.2020;46
25.04.2020;58
26.04.2020;7
27.04.2020;35
28.04.2020;35
29.04.2020;63
30.04.2020;37
01.05.2020;47
02.05.2020;32
03.05.2020;31
04.05.2020;40
05.05.2020;18
06.05.2020;26
07.05.2020;65
08.05.2020;27
09.05.2020;24
10.05.2020;69
11.05.2020;68
12.05.2020;33
13.05.2020;93
14.05.2020;33
15.05.2020;41
16.05.2020;52
17.05.2020;15
18.05.2020;38
19.05.2020;64
20.05.2020;84
21.05.2020;25
22.05.2020;64
23.05.2020;87
24.05.2020;49
25.05.2020;25
26.05.2020;101
27.05.2020;79
28.05.2020;75
29.05.2020;24
30.05.2020;78
31.05.2020;77
01.06.2020;79
02.06.2020;58
03.06.2020;83
04.06.2020;96
05.06.2020;68
06.06.2020;87
07.06.2020;237
08.06.2020;109
09.06.2020;80
10.06.2020;103
11.06.2020;118
12.06.2020;128
13.06.2020;97
14.06.2020;114
15.06.2020;183
16.06.2020;230
17.06.2020;189
18.06.2020;85
19.06.2020;179
20.06.2020;207
21.06.2020;162
22.06.2020;146
23.06.2020;201
24.06.2020;328
25.06.2020;187
26.06.2020;250
27.06.2020;255
28.06.2020;266
29.06.2020;274
30.06.2020;281
01.07.2020;278
02.07.2020;297
03.07.2020;318
04.07.2020;312
05.07.2020;312
06.07.2020;342
07.07.2020;476
08.07.2020;254
09.07.2020;472
10.07.2020;463
11.07.2020;486
12.07.2020;484
13.07.2020;594
14.07.2020;494
15.07.2020;496
16.07.2020;485
17.07.2020;541
18.07.2020;579
19.07.2020;566
20.07.2020;397
21.07.2020;732
22.07.2020;498
23.07.2020;607
24.07.2020;374
25.07.2020;592
26.07.2020;579
27.07.2020;678
28.07.2020;490
29.07.2020;886
30.07.2020;686
31.07.2020;738
01.08.2020;774
02.08.2020;553
03.08.2020;730
04.08.2020;981
05.08.2020;746
06.08.2020;522
07.08.2020;742
08.08.2020;595
09.08.2020;957
10.08.2020;695
11.08.2020;443
12.08.2020;907
13.08.2020;669
14.08.2020;498
15.08.2020;707
16.08.2020;801
17.08.2020;373
18.08.2020;650
19.08.2020;760
20.08.2020;435
21.08.2020;527
22.08.2020;458
23.08.2020;414
24.08.2020;402
25.08.2020;293
26.08.2020;323
27.08.2020;483
28.08.2020;273
29.08.2020;347
30.08.2020;357
31.08.2020;469
01.09.2020;234
02.09.2020;310
03.09.2020;251
04.09.2020;310
05.09.2020;295
06.09.2020;294
07.09.2020;306
08.09.2020;388
09.09.2020;649
10.09.2020;543
11.09.2020;687
12.09.2020;561
13.09.2020;566
14.09.2020;549
15.09.2020;593
16.09.2020;586
17.09.2020;612
18.09.2020;626
19.09.2020;739
20.09.2020;648
21.09.2020;430
22.09.2020;615
23.09.2020;590
24.09.2020;559
25.09.2020;558
26.09.2020;427
27.09.2020;501
28.09.2020;456
29.09.2020;578
30.09.2020;363
01.10.2020;473
02.10.2020;264
03.10.2020;784
04.10.2020;374
05.10.2020;334
06.10.2020;397
07.10.2020;236
08.10.2020;447
09.10.2020;316
10.10.2020;434
11.10.2020;322
12.10.2020;221
13.10.2020;323
14.10.2020;308
15.10.2020;328
16.10.2020;310
17.10.2020;221
18.10.2020;315
19.10.2020;399
20.10.2020;308
21.10.2020;179
22.10.2020;429
23.10.2020;285
24.10.2020;199
25.10.2020;384
26.10.2020;360
27.10.2020;214
28.10.2020;260
29.10.2020;251
30.10.2020;236
31.10.2020;304
01.11.2020;224
02.11.2020;98
03.11.2020;299
04.11.2020;226
05.11.2020;230
06.11.2020;130
07.11.2020;228
08.11.2020;363
09.11.2020;297
10.11.2020;0
11.11.2020;370
12.11.2020;163
13.11.2020;194
14.11.2020;233
15.11.2020;256
16.11.2020;138
17.11.2020;267
18.11.2020;210
19.11.2020;63
20.11.2020;287
21.11.2020;223
22.11.2020;186
23.11.2020;157
24.11.2020;211
25.11.2020;242
26.11.2020;182
27.11.2020;104
28.11.2020;205
29.11.2020;152
30.11.2020;224
01.12.2020;182
02.12.2020;59
03.12.2020;96
04.12.2020;320
05.12.2020;0
06.12.2020;302
07.12.2020;0
08.12.2020;153
09.12.2020;146
10.12.2020;146
11.12.2020;313
12.12.2020;0
13.12.2020;145
14.12.2020;138
15.12.2020;147
16.12.2020;297
17.12.2020;0
18.12.2020;137
19.12.2020;131
20.12.2020;127
21.12.2020;115
22.12.2020;132
23.12.2020;135
24.12.2020;141
25.12.2020;112
26.12.2020;98
27.12.2020;85
28.12.2020;81
29.12.2020;75
30.12.2020;78
31.12.2020;75
01.01.2021;122
02.01.2021;0
03.01.2021;76
04.01.2021;0
05.01.2021;37
06.01.2021;55
07.01.2021;62
08.01.2021;73
09.01.2021;45
10.01.2021;42
11.01.2021;39
12.01.2021;52
13.01.2021;53
14.01.2021;61
15.01.2021;127
16.01.2021;64
17.01.2021;0
18.01.2021;68
19.01.2021;55
20.01.2021;72
21.01.2021;56
22.01.2021;53
23.01.2021;45
24.01.2021;58
25.01.2021;54
26.01.2021;42
27.01.2021;39
28.01.2021;46
29.01.2021;46
30.01.2021;109
31.01.2021;0
01.02.2021;44
02.02.2021;46
03.02.2021;58
04.02.2021;57
05.02.2021;73
06.02.2021;56
07.02.2021;53
08.02.2021;64
09.02.2021;42
10.02.2021;33
11.02.2021;66
12.02.2021;37
13.02.2021;41
14.02.2021;35
15.02.2021;26
16.02.2021;19
17.02.2021;36
18.02.2021;51
19.02.2021;50
20.02.2021;34
21.02.2021;22
22.02.2021;27
23.02.2021;36
24.02.2021;32
25.02.2021;24
26.02.2021;31
27.02.2021;32
28.02.2021;90
01.03.2021;0
02.03.2021;35
03.03.2021;74
04.03.2021;0
05.03.2021;46
06.03.2021;44
07.03.2021;51
08.03.2021;43
09.03.2021;28
10.03.2021;21
11.03.2021;124
12.03.2021;0
13.03.2021;89
14.03.2021;86
15.03.2021;111
16.03.2021;65
17.03.2021;115
18.03.2021;113
19.03.2021;124
20.03.2021;244
21.03.2021;0
22.03.2021;107
23.03.2021;232
24.03.2021;0
25.03.2021;138
26.03.2021;144
27.03.2021;186
28.03.2021;194
29.03.2021;196
30.03.2021;146
31.03.2021;187
01.04.2021;181
02.04.2021;189
03.04.2021;196
04.04.2021;188
05.04.2021;179
06.04.2021;133
07.04.2021;192
08.04.2021;195
09.04.2021;207
10.04.2021;195
11.04.2021;198
12.04.2021;192
13.04.2021;177
14.04.2021;212
15.04.2021;227
16.04.2021;292
17.04.2021;316
18.04.2021;342
19.04.2021;302
20.04.2021;243
21.04.2021;326
22.04.2021;384
23.04.2021;345
24.04.2021;399
25.04.2021;348
26.04.2021;328
27.04.2021;275
28.04.2021;378
29.04.2021;398
30.04.2021;402
01.05.2021;442
02.05.2021;393
03.05.2021;363
04.05.2021;314
05.05.2021;404
06.05.2021;452
07.05.2021;421
08.05.2021;381
09.05.2021;419
10.05.2021;362
11.05.2021;313
12.05.2021;395
13.05.2021;359
14.05.2021;291
15.05.2021;251
16.05.2021;302
17.05.2021;223
18.05.2021;175
19.05.2021;212
20.05.2021;263
21.05.2021;313
22.05.2021;308
23.05.2021;287
24.05.2021;206
25.05.2021;192
26.05.2021;215
27.05.2021;280
28.05.2021;236
29.05.2021;264
30.05.2021;280
31.05.2021;211
01.06.2021;160
02.06.2021;231
03.06.2021;271
04.06.2021;201
05.06.2021;238
06.06.2021;286
07.06.2021;242
08.06.2021;199
09.06.2021;199
10.06.2021;243
11.06.2021;287
12.06.2021;314
13.06.2021;304
14.06.2021;303
15.06.2021;300
16.06.2021;350
17.06.2021;371
18.06.2021;385
19.06.2021;391
20.06.2021;415
21.06.2021;427
22.06.2021;395
23.06.2021;419
24.06.2021;442
25.06.2021;476
26.06.2021;546
27.06.2021;493
28.06.2021;469
29.06.2021;498
30.06.2021;487
01.07.2021;476
02.07.2021;495
03.07.2021;482
04.07.2021;467
05.07.2021;475
06.07.2021;496
07.07.2021;471
08.07.2021;490
09.07.2021;482
10.07.2021;467
11.07.2021;485
12.07.2021;458
13.07.2021;497
14.07.2021;491
15.07.2021;493
16.07.2021;478
17.07.2021;501
18.07.2021;507
19.07.2021;585
20.07.2021;658
21.07.2021;698
22.07.2021;719
23.07.2021;738
24.07.2021;773
25.07.2021;731
26.07.2021;705
27.07.2021;789
28.07.2021;843
29.07.2021;879
30.07.2021;897
31.07.2021;924
01.08.2021;889
02.08.2021;863
03.08.2021;899
04.08.2021;923
05.08.2021;951
06.08.2021;974
07.08.2021;912
08.08.2021;897
09.08.2021;856
10.08.2021;891
11.08.2021;903
12.08.2021;925
13.08.2021;948
14.08.2021;966
15.08.2021;917
16.08.2021;877
17.08.2021;846
18.08.2021;851
19.08.2021;844
20.08.2021;863
21.08.2021;881
22.08.2021;855
23.08.2021;818
24.08.2021;807
25.08.2021;834
26.08.2021;846
27.08.2021;841
28.08.2021;829
29.08.2021;811
30.08.2021;795
31.08.2021;755
01.09.2021;742
02.09.2021;736
03.09.2021;689
04.09.2021;648
05.09.2021;662
06.09.2021;640
07.09.2021;597
08.09.2021;660
09.09.2021;653
10.09.2021;687
11.09.2021;662
12.09.2021;594
13.09.2021;526
14.09.2021;531
15.09.2021;604
16.09.2021;619
17.09.2021;624
18.09.2021;590
19.09.2021;579
20.09.2021;501
21.09.2021;529
22.09.2021;522
23.09.2021;531
24.09.2021;560
25.09.2021;508
26.09.2021;502
27.09.2021;403
28.09.2021;406
29.09.2021;510
30.09.2021;486
01.10.2021;513
02.10.2021;471
03.10.2021;388
04.10.2021;448
05.10.2021;304
06.10.2021;458
07.10.2021;487
08.10.2021;419
09.10.2021;451
10.10.2021;425
11.10.2021;378
12.10.2021;349
13.10.2021;385
14.10.2021;340
15.10.2021;451
16.10.2021;404
17.10.2021;392
18.10.2021;354
19.10.2021;342
20.10.2021;406
21.10.2021;361
22.10.2021;398
23.10.2021;372
24.10.2021;378
25.10.2021;359
26.10.2021;305
27.10.2021;330
28.10.2021;342
29.10.2021;390
30.10.2021;352
31.10.2021;316
01.11.2021;281
02.11.2021;549
03.11.2021;0
04.11.2021;292
05.11.2021;296
06.11.2021;285
07.11.2021;258
08.11.2021;245
09.11.2021;229
10.11.2021;221
11.11.2021;273
12.11.2021;294
13.11.2021;272
14.11.2021;225
15.11.2021;232
16.11.2021;189
17.11.2021;228
18.11.2021;252
19.11.2021;266
20.11.2021;272
21.11.2021;212
22.11.2021;242
23.11.2021;174
24.11.2021;206
25.11.2021;219
26.11.2021;206
27.11.2021;218
28.11.2021;232
29.11.2021;234
30.11.2021;143
01.12.2021;216
02.12.2021;209
03.12.2021;260
04.12.2021;212
05.12.2021;228
06.12.2021;223
07.12.2021;147
08.12.2021;201
09.12.2021;194
10.12.2021;148
11.12.2021;278
12.12.2021;223
13.12.2021;211
14.12.2021;136
15.12.2021;209
16.12.2021;219
17.12.2021;217
18.12.2021;161
19.12.2021;174
20.12.2021;194
21.12.2021;124
22.12.2021;174
23.12.2021;187
24.12.2021;165
25.12.2021;181
26.12.2021;143
27.12.2021;145
28.12.2021;100
29.12.2021;139
30.12.2021;143
31.12.2021;134
01.01.2022;127
02.01.2022;88
03.01.2022;64
04.01.2022;89
05.01.2022;90
06.01.2022;146
07.01.2022;251
08.01.2022;214
09.01.2022;369
10.01.2022;389
11.01.2022;425
12.01.2022;1318
13.01.2022;0
14.01.2022;824
15.01.2022;876
16.01.2022;912
17.01.2022;1037
18.01.2022;935
19.01.2022;1214
20.01.2022;1307
21.01.2022;1321
22.01.2022;1390
23.01.2022;1478
24.01.2022;1296
25.01.2022;1123
26.01.2022;1174
27.01.2022;1117
28.01.2022;1186
29.01.2022;1152
30.01.2022;1104
31.01.2022;1089
01.02.2022;1015
02.02.2022;1087
03.02.2022;926
04.02.2022;961
05.02.2022;912
06.02.2022;887
07.02.2022;832
08.02.2022;773
09.02.2022;778
10.02.2022;692
11.02.2022;625
12.02.2022;504
13.02.2022;439
14.02.2022;322
15.02.2022;302
16.02.2022;296
17.02.2022;241
18.02.2022;272
19.02.2022;191
20.02.2022;204
21.02.2022;160
22.02.2022;175
23.02.2022;138
24.02.2022;140
25.02.2022;156
26.02.2022;138
27.02.2022;125
28.02.2022;106
01.03.2022;96
02.03.2022;95
03.03.2022;91
04.03.2022;84
05.03.2022;69
06.03.2022;59
07.03.2022;68
08.03.2022;27
09.03.2022;51
10.03.2022;14
11.03.2022;70
12.03.2022;40
13.03.2022;69
14.03.2022;22
15.03.2022;21
16.03.2022;60
17.03.2022;43
18.03.2022;30
19.03.2022;24
20.03.2022;38
21.03.2022;32
22.03.2022;12
23.03.2022;7
24.03.2022;6
25.03.2022;9
26.03.2022;47
27.03.2022;52
28.03.2022;38
29.03.2022;8
30.03.2022;23
31.03.2022;39
01.04.2022;38
02.04.2022;41
03.04.2022;25
04.04.2022;35
05.04.2022;18
06.04.2022;26
07.04.2022;35
08.04.2022;27
09.04.2022;46
10.04.2022;31
11.04.2022;17
12.04.2022;10
13.04.2022;78
14.04.2022;0
15.04.2022;38
16.04.2022;38
17.04.2022;36
18.04.2022;25
19.04.2022;8
20.04.2022;46
21.04.2022;34
22.04.2022;27
23.04.2022;14
24.04.2022;27
25.04.2022;34
26.04.2022;7
27.04.2022;25
28.04.2022;21
29.04.2022;21
30.04.2022;19
01.05.2022;0
02.05.2022;31
03.05.2022;1
04.05.2022;8
05.05.2022;15
06.05.2022;9
07.05.2022;35
08.05.2022;0
09.05.2022;41
10.05.2022;7
11.05.2022;4
12.05.2022;20
13.05.2022;11
14.05.2022;10
15.05.2022;14
16.05.2022;16
17.05.2022;6
18.05.2022;18
19.05.2022;13
20.05.2022;13
21.05.2022;42
22.05.2022;19
23.05.2022;11
24.05.2022;5
25.05.2022;19
26.05.2022;11
27.05.2022;8
28.05.2022;0
29.05.2022;0
30.05.2022;42
31.05.2022;3
01.06.2022;18
02.06.2022;13
03.06.2022;18
04.06.2022;15
05.06.2022;0
06.06.2022;43
07.06.2022;6
08.06.2022;18
09.06.2022;23
10.06.2022;21
11.06.2022;33
12.06.2022;0
13.06.2022;36
14.06.2022;8
15.06.2022;39
16.06.2022;57
17.06.2022;59
18.06.2022;90
19.06.2022;0
20.06.2022;201
21.06.2022;87
22.06.2022;82
23.06.2022;98
24.06.2022;94
25.06.2022;119